Image,Class,Pixel Intensity,Aspect Ratio,Perimeter,Solidity,Convexity,Euler's Number
14493.png,9,0.12879151660664265,0.9,67.4558436870575,0.6820083682008368,0.862269189853339,0
16581.png,9,0.0797218887555022,0.5,54.97056233882904,0.6730769230769231,0.891129655075407,0
49599.png,9,0.11419567827130853,0.95,65.84061896800995,0.7282051282051282,0.8978954422435037,0
45352.png,9,0.07582533013205281,0.5,66.38477599620819,0.6168831168831169,0.7342518380977127,1
3063.png,9,0.13634453781512607,0.9,70.76955235004425,0.7229437229437229,0.848103418150833,-2
57674.png,9,0.12098839535814326,0.6,59.455843567848206,0.7295918367346939,0.8724782096761101,0
30138.png,9,0.08125750300120048,0.5,55.21320307254791,0.6918238993710691,0.8660335733086622,0
19300.png,9,0.23034713885554223,0.95,67.4558436870575,0.7992957746478874,0.8894433705345431,0
13668.png,9,0.09565826330532212,0.65,60.041630029678345,0.6581632653061225,0.854573495294889,0
40943.png,9,0.11591636654661865,0.6,59.899494767189026,0.6910994764397905,0.8776835006111497,0
37867.png,9,0.17041816726690678,0.8,70.76955270767212,0.7580645161290323,0.8383972098711724,0
9771.png,9,0.11868247298919568,0.65,62.870057106018066,0.6881188118811881,0.8448333933089318,-1
37965.png,9,0.16264005602240897,0.9,71.4558436870575,0.7192307692307692,0.8116224213264764,1
1421.png,9,0.09264705882352942,0.6,60.870057106018066,0.7328767123287672,0.06571375467963099,1
59341.png,9,0.10767306922769107,0.65,62.87005686759949,0.702020202020202,0.8411543948667187,0
15746.png,9,0.07874149659863945,0.5,57.55634891986847,0.6419753086419753,0.8818340524250389,1
17384.png,9,0.06153461384553821,0.5,66.28427076339722,0.6357142857142857,0.7240789501389886,1
40647.png,9,0.15446678671468586,0.85,75.35533881187439,0.71484375,0.7890577479094616,0
53154.png,9,0.11640656262505002,0.6,59.79898953437805,0.7128205128205128,0.8896631982038118,0
44618.png,9,0.11991796718687475,0.5,52.38477611541748,0.808641975308642,0.9216573795364557,-2
36198.png,0,0.15500700280112045,0.9,63.69848430156708,0.6086956521739131,0.9710109645867654,0
59784.png,0,0.1782563025210084,0.75,63.455843687057495,0.7811158798283262,0.06303595961510859,0
7373.png,0,0.11350540216086434,0.9,62.041629910469055,0.5323741007194245,0.9624867751825837,1
15492.png,0,0.1383203281312525,1.25,60.870057106018066,0.5601374570446735,0.9649585376105093,0
13807.png,0,0.13547418967587033,0.7,58.041630029678345,0.6995708154506438,0.9534406689867024,0
13098.png,0,0.17785614245698278,0.8,62.041630148887634,0.6677852348993288,0.9643324628600237,0
51845.png,0,0.1843737494997999,1.1111111111111112,64.87005686759949,0.6238532110091743,0.970944370018489,0
19908.png,0,0.13972589035614244,0.6,56.627416491508484,0.7358490566037735,0.9302854373416093,0
63.png,0,0.23131752701080432,0.9,64.87005710601807,0.8053691275167785,0.944877215458684,0
54284.png,0,0.10344137655062025,0.5,51.79898953437805,0.7135416666666666,0.949458479857948,0
32520.png,0,0.0873999599839936,0.7,58.87005698680878,0.532258064516129,0.9541066285786437,0
26422.png,0,0.13284813925570227,0.8,60.38477599620819,0.554006968641115,0.9815582081023273,0
5288.png,0,0.0742797118847539,0.6,52.97056245803833,0.5270935960591133,0.9638440173564002,0
18572.png,0,0.1332733093237295,1.1111111111111112,62.87005686759949,0.5424836601307189,0.9694497148310455,0
58353.png,0,0.20281112444977992,0.9,62.041629910469055,0.8076923076923077,0.9545252468448927,0
28202.png,0,0.19409263705482194,0.95,65.45584344863892,0.6347305389221557,0.9706431433772762,0
8917.png,0,0.20651760704281713,1.1111111111111112,65.21320307254791,0.6978193146417445,0.9668699070293827,0
41927.png,0,0.1673969587835134,0.75,57.455843687057495,0.7341269841269841,0.9673311879226818,1
35972.png,0,0.18760004001600641,0.85,62.87005698680878,0.7003367003367004,0.9548666643977672,0
50750.png,0,0.14777410964385754,0.7,57.45584332942963,0.7196652719665272,0.9597022350642928,0
505.png,7,0.12316426570628251,0.8,78.18376529216766,0.6190476190476191,0.7436686673544458,1
